Image ID,Study,Label,Prediction,Status,Augmentation,Confidence,Heatmap,Score,Justification
2,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,Yes,1,GradCAM,0.7,"Highlighted lighter leaves and more obvious larger leaves, but missed dried leaves at the bottom and an important spot. Had less confidence than non-aug"
2,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,Yes,1,Integrated Gradients,0.6,Highlighted some essential regions with moderate confidence but less important regions (dried leaves at bottom) . with very high confidence. Missed some spots and highlighted too much
3,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,No,1,Lime,0.5,"Highlighted large ""regions"" with damaged and healthy leaves, making it hard to be accessible. Missed a few essential spots"
3,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,No,1,GradCAM,1,Highlighted regions correctly
3,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,No,1,Integrated Gradients,0.8,"Highlighted most regions correclty, but missed a few dried leaves at the bottom"
3,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,Yes,1,Lime,0.5,"Highlighted large ""regions"" with damaged and healthy leaves, making it hard to be accessible. Missed a few essential spots"
3,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,Yes,1,GradCAM,0.9,Highlighted regions correctly with too much confidence
3,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,Yes,1,Integrated Gradients,0.8,"Highlighted most regions correclty, but missed a few dried leaves at the bottom"
4,Bacterial Leaf Blight,Normal,Bacterial Leaf Blight,FP,No,0.47,Lime,N/A,"Scattered, does not tell you much"
4,Bacterial Leaf Blight,Normal,Bacterial Leaf Blight,FP,No,0.47,GradCAM,N/A,"Focused on smooth, healthy leeaves. Entire map is mostly highlighted, with focus on rocks(?)"
4,Bacterial Leaf Blight,Normal,Bacterial Leaf Blight,FP,No,0.47,Integrated Gradients,N/A,"Scattered, does not tell you much"
4,Bacterial Leaf Blight,Normal,Normal,TP,Yes,0.91,Lime,N/A,"Scattered, does not tell you much"
4,Bacterial Leaf Blight,Normal,Normal,TP,Yes,0.91,GradCAM,N/A,"Focused on smooth, healthy leeaves"
4,Bacterial Leaf Blight,Normal,Normal,TP,Yes,0.91,Integrated Gradients,N/A,"Scattered, does not tell you much"
5,Bacterial Leaf Blight,Tungro,Bacterial Leaf Blight,FP,No,0.89,Lime,0.4,"Some major orange tips highlighted with confidence, but spread for smaller orange tips is high. Missed a few spots"
5,Bacterial Leaf Blight,Tungro,Bacterial Leaf Blight,FP,No,0.89,GradCAM,0.7,"Some major orange tips highlighted with confidence, but spread for smaller orange tips is high"
5,Bacterial Leaf Blight,Tungro,Bacterial Leaf Blight,FP,No,0.89,Integrated Gradients,0.7,"Some major orange tips highlighted with confidence, but some are missed"
5,Bacterial Leaf Blight,Tungro,Tungro,TP,Yes,1,Lime,0.2,"Some major orange tips highlighted with confidence, but spread for smaller orange tips is high. Missed a few major spots"
5,Bacterial Leaf Blight,Tungro,Tungro,TP,Yes,1,GradCAM,0.9,"Orange tips are highlighted with great confidence, able to differentiate from incorrect regions with lower confidence. Some parts missed"
5,Bacterial Leaf Blight,Tungro,Tungro,TP,Yes,1,Integrated Gradients,1,Orange tips are highlighted with great confidence
6,Bacterial Leaf Blight,Tungro,Bacterial Leaf Blight,FP,No,0.79,Lime,0.5,Does not cover essential leaves well. Highlights some areas with moderate confidence
6,Bacterial Leaf Blight,Tungro,Bacterial Leaf Blight,FP,No,0.79,GradCAM,0.1,Completely skips over essential leaves and highlights unnecessary stuff
6,Bacterial Leaf Blight,Tungro,Bacterial Leaf Blight,FP,No,0.79,Integrated Gradients,0.9,Highlights very well but includes some noise
6,Bacterial Leaf Blight,Tungro,Tungro,TP,Yes,1,Lime,0.3,Does not cover essential leaves well. Highlights some areas with moderate confidence
6,Bacterial Leaf Blight,Tungro,Tungro,TP,Yes,1,GradCAM,0.5,Highlights essential regions with lower confidence and highlights too much noise
6,Bacterial Leaf Blight,Tungro,Tungro,TP,Yes,1,Integrated Gradients,0.9,Highlights very well but includes some noise (different from non-aug)
7,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,No,0.99,Lime,0.3,Parts of damaged regions are highlighted
7,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,No,0.99,GradCAM,0.7,Highlights most but not all damaged regions
7,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,No,0.99,Integrated Gradients,0.7,Highlights most but not all damaged regions and has too much noise
7,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.99,Lime,0.3,Parts of damaged regions are highlighted
7,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.99,GradCAM,0.6,Highlights most but not all damaged regions and has too much confident noise
7,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.99,Integrated Gradients,0.7,Highlights most but not all damaged regions and has too much noise
8,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,No,0.98,Lime,0.4,Highlighted some regions but too large to detect spots
8,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,No,0.98,GradCAM,1,Successfully highlighted brown tips and spots
8,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,No,0.98,Integrated Gradients,1,Successfully highlighted brown tips and spots
8,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.99,Lime,0.4,Highlighted some regions but too large to detect spots
8,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.99,GradCAM,0.8,Successfully highlighted brown tips and spots but had some noise
8,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.99,Integrated Gradients,1,Successfully highlighted brown tips and spots
9,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,No,1,Lime,0.4,Essential regions were highlighted with low confidence
9,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,No,1,GradCAM,0.1,Essential regions were the only ones not highlighted
9,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,No,1,Integrated Gradients,0.8,Essential regions are highlighted but has a little noise
9,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,1,Lime,0.6,Essential regions were highlighted with moderate confidence but does not capture some
9,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,1,GradCAM,0.1,Essential regions were the only ones not highlighted
9,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,1,Integrated Gradients,0.7,Essential regions are highlighted but does not capture some
10,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,FN,No,0.97,Lime,0.7,Strong confidence in essential region but some confident noise in top right
10,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,FN,No,0.97,GradCAM,0.7,Strong confidence in essential region but some confident noise in top right
10,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,FN,No,0.97,Integrated Gradients,0.7,Strong confidence in essential region but some confident noise in top right
10,Bacterial Leaf Streak,Bacterial Leaf Streak,Downy Mildew,FN,Yes,0.63,Lime,0.7,Strong confidence in essential region but some confident noise in top right
10,Bacterial Leaf Streak,Bacterial Leaf Streak,Downy Mildew,FN,Yes,0.63,GradCAM,1,Strong confidence in essential region
10,Bacterial Leaf Streak,Bacterial Leaf Streak,Downy Mildew,FN,Yes,0.63,Integrated Gradients,0.9,Strong confidence in essential region but some confident noise in top right and around
11,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,FN,No,0.57,Lime,0.6,Failed to capture essential regions with confidence
11,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,FN,No,0.57,GradCAM,0.6,Failed to capture essential regions with confidence
11,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,FN,No,0.57,Integrated Gradients,0.8,Capture essential regions but included noise
11,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.89,Lime,0.6,Failed to capture essential regions
11,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.89,GradCAM,0.6,Failed to capture essential regions with confidence
11,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.89,Integrated Gradients,0.8,Captured essential regions but included some noise
12,Bacterial Leaf Streak,Bacterial Leaf Streak,Brown Spot,FN,No,0.86,Lime,0.3,Did not capture essential regions
12,Bacterial Leaf Streak,Bacterial Leaf Streak,Brown Spot,FN,No,0.86,GradCAM,0.7,Captured some essential regions
12,Bacterial Leaf Streak,Bacterial Leaf Streak,Brown Spot,FN,No,0.86,Integrated Gradients,0.7,Captured some essential regions
12,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.98,Lime,0.3,Did not captur essential regions
12,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.98,GradCAM,0.7,Captured some essential regions
12,Bacterial Leaf Streak,Bacterial Leaf Streak,Bacterial Leaf Streak,TP,Yes,0.98,Integrated Gradients,0.7,Captured some essential regions
13,Bacterial Leaf Streak,Brown Spot,Bacterial Leaf Streak,FP,No,0.99,Lime,0.2,Did not capture well
13,Bacterial Leaf Streak,Brown Spot,Bacterial Leaf Streak,FP,No,0.99,GradCAM,0.9,Captured tips well
13,Bacterial Leaf Streak,Brown Spot,Bacterial Leaf Streak,FP,No,0.99,Integrated Gradients,0.8,Captured areas well but missed a few spots
13,Bacterial Leaf Streak,Brown Spot,Bacterial Leaf Streak,FP,Yes,1,Lime,0.2,Did not capture well
13,Bacterial Leaf Streak,Brown Spot,Bacterial Leaf Streak,FP,Yes,1,GradCAM,0.7,Captured tips well but with less confidence
13,Bacterial Leaf Streak,Brown Spot,Bacterial Leaf Streak,FP,Yes,1,Integrated Gradients,0.8,Captured areas well but missed a few spots
14,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,No,1,Lime,0.5,"Moderately included the damaged grain, but other areas had higher percentages"
14,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,No,1,GradCAM,0.1,Avoided the damaged grain
14,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,No,1,Integrated Gradients,0.9,Focused on the damaged grain but included some noise
14,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,Yes,0.97,Lime,0.1,Avoided the damaged grain
14,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,Yes,0.97,GradCAM,0.1,Avoided the damaged grain
14,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,Yes,0.97,Integrated Gradients,1,Focused on the damaged grain
15,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,No,1,Lime,0.1,Avoided the damaged grain
15,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,No,1,GradCAM,1,Focused on the damaged grain
15,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,No,1,Integrated Gradients,0.9,Focused on the damaged grain but included some noise
15,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,Yes,1,Lime,0.1,Avoided the damaged grain
15,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,Yes,1,GradCAM,1,Focused on the damaged grain
15,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,Yes,1,Integrated Gradients,0.9,Focused on the damaged grain but included some noise
16,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,No,1,Lime,0.4,Missed some aspects of damaged grain
16,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,No,1,GradCAM,0.5,Focused too much on noise
16,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,No,1,Integrated Gradients,1,Focused on the damaged grain
16,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,Yes,0.95,Lime,0.4,Missed some aspects of damaged grain
16,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,Yes,0.95,GradCAM,0.5,Focused on the damaged grain but also noisy areas
16,Bacterial Panicle Blight,Bacterial Panicle Blight,Bacterial Panicle Blight,TP,Yes,0.95,Integrated Gradients,1,Focused on the damaged grain
17,Bacterial Panicle Blight,Dead Heart,Bacterial Leaf Streak,FP,No,0.83,Lime,0.5,Captured some damaged grain but too much confident noise
17,Bacterial Panicle Blight,Dead Heart,Bacterial Leaf Streak,FP,No,0.83,GradCAM,0.6,Captured some damaged grain
17,Bacterial Panicle Blight,Dead Heart,Bacterial Leaf Streak,FP,No,0.83,Integrated Gradients,1,Focused on the damaged grain
17,Bacterial Panicle Blight,Dead Heart,Dead Heart,TP,Yes,0.8,Lime,0.6,Captured some damaged grain but too much confident noise
17,Bacterial Panicle Blight,Dead Heart,Dead Heart,TP,Yes,0.8,GradCAM,0.3,Too much attribution makes it unclear
17,Bacterial Panicle Blight,Dead Heart,Dead Heart,TP,Yes,0.8,Integrated Gradients,1,Focused on the damaged grain
18,Blast,Blast,Blast,TP,No,0.99,Lime,0.7,Captures most main damages with moderate attribution
18,Blast,Blast,Blast,TP,No,0.99,GradCAM,0.7,Captures most main damages but some highly confident noise
18,Blast,Blast,Blast,TP,No,0.99,Integrated Gradients,0.9,Captures most main damages
18,Blast,Blast,Blast,TP,Yes,1,Lime,0.5,Captures some main damages
18,Blast,Blast,Blast,TP,Yes,1,GradCAM,0.9,Captures most main damages
18,Blast,Blast,Blast,TP,Yes,1,Integrated Gradients,0.9,Captures most main damages
19,Blast,Blast,Blast,TP,No,1,Lime,0.4,Detects some damaged areas as well as highlighted leaves with damages
19,Blast,Blast,Blast,TP,No,1,GradCAM,1,Detects correct placements
19,Blast,Blast,Blast,TP,No,1,Integrated Gradients,0.9,Detects correct placements with minimal noise
19,Blast,Blast,Blast,TP,Yes,1,Lime,0.3,Bighlighted some damaged leaves with lower attribution
19,Blast,Blast,Blast,TP,Yes,1,GradCAM,1,Detects correct placements
19,Blast,Blast,Blast,TP,Yes,1,Integrated Gradients,0.9,Detects correct placements with minimal noise
20,Blast,Blast,Blast,TP,No,1,Lime,0.5,Some regions with diseases were highlighted
20,Blast,Blast,Blast,TP,No,1,GradCAM,0.9,Most diseases were highlighted but some smaller ones had low confidence
20,Blast,Blast,Blast,TP,No,1,Integrated Gradients,0.9,Most regions with diseases were highlighted
20,Blast,Blast,Blast,TP,Yes,1,Lime,0.5,Some regions with diseases were highlighted
20,Blast,Blast,Blast,TP,Yes,1,GradCAM,0.8,Most diseases were highlighted but too much high confidence throughout
20,Blast,Blast,Blast,TP,Yes,1,Integrated Gradients,0.9,Most regions with diseases were highlighted
21,Blast,Blast,Downy Mildew,FN,No,0.98,Lime,0.4,Tip were weak and noise was not the highest
21,Blast,Blast,Downy Mildew,FN,No,0.98,GradCAM,0.6,Highlights tips but also shadow distortions. Gets some brown spots
21,Blast,Blast,Downy Mildew,FN,No,0.98,Integrated Gradients,0.6,Highlights tips but also shadow distortions. Gets some brown spots
21,Blast,Blast,Blast,TP,Yes,1,Lime,0.8,Highlights tips and spots but introduces too much noise
21,Blast,Blast,Blast,TP,Yes,1,GradCAM,0.7,Highlights tip but not some spots
21,Blast,Blast,Blast,TP,Yes,1,Integrated Gradients,0.8,Highlights tips and some spots
22,Blast,Blast,Tungro,FN,No,0.79,Lime,0.6,Most of essential spots are highlighted with low attribution
22,Blast,Blast,Tungro,FN,No,0.79,GradCAM,0.7,"Most of the graph was highlighted with similar attribution, and some spots are highlighted with high aatribution"
22,Blast,Blast,Tungro,FN,No,0.79,Integrated Gradients,0.7,Some essential parts are highlighted
22,Blast,Blast,Blast,TP,Yes,0.92,Lime,0.5,Only some spots highlighted with decent attribution
22,Blast,Blast,Blast,TP,Yes,0.92,GradCAM,0.3,"Most of the graph is highlighted with high attribution, and essential spot is not"
22,Blast,Blast,Blast,TP,Yes,0.92,Integrated Gradients,0.9,Most of essential spots are highlighted
23,Blast,Blast,Blast,FN,No,0.96,Lime,0.5,Highlighted correct regions with great attribution but has too much noise
23,Blast,Blast,Blast,FN,No,0.96,GradCAM,0.5,Highlighted correct regions but noise is higher attributed
23,Blast,Blast,Blast,FN,No,0.96,Integrated Gradients,0.5,Highlighted correct regions but noise is higher attributed
23,Blast,Blast,Blast,TP,Yes,0.98,Lime,0.7,Highlighted correct regions with great attribution but has too much noise
23,Blast,Blast,Blast,TP,Yes,0.98,GradCAM,0.5,Highlighted correct regions but noise is higher attributed
23,Blast,Blast,Blast,TP,Yes,0.98,Integrated Gradients,0.5,Highlighted correct regions but noise is higher attributed
24,Blast,Downy Mildew,Blast,FP,No,0.52,Lime,0.4,Captured part of main leaf but not other diseased parts well
24,Blast,Downy Mildew,Blast,FP,No,0.52,GradCAM,0.7,High attribution on main leaf and some high and low attribution around in unnecessary areas
24,Blast,Downy Mildew,Blast,FP,No,0.52,Integrated Gradients,0.6,High attribution on main leaf and some lower attribution around. Did not capture mildew in bottom right much
24,Blast,Downy Mildew,Downy Mildew,TP,Yes,0.72,Lime,0.4,Captured part of main leaf but not other diseased parts well
24,Blast,Downy Mildew,Downy Mildew,TP,Yes,0.72,GradCAM,0.8,High attribution on main leaf and some attribution around in unnecessary areas
24,Blast,Downy Mildew,Downy Mildew,TP,Yes,0.72,Integrated Gradients,0.6,High attribution on main leaf and some attribution around in unnecessary areas. Did not capture mildew in bottom right much
25,Blast,Brown Spot,Blast,FP,No,0.73,Lime,0.8,Browning was covered with moderate noise
25,Blast,Brown Spot,Blast,FP,No,0.73,GradCAM,0.6,"Diseased part on leaf skipped over, too much noise. includes some diseased spots"
25,Blast,Brown Spot,Blast,FP,No,0.73,Integrated Gradients,0.6,"Diseased part on leaf skipped over, too much noise. includes some diseased spots"
25,Blast,Brown Spot,Brown Spot,TP,Yes,0.99,Lime,0.7,Browning was covered with high and moderate noise
25,Blast,Brown Spot,Brown Spot,TP,Yes,0.99,GradCAM,0.6,"Diseased part on leaf skipped over, too much noise. includes some diseased spots"
25,Blast,Brown Spot,Brown Spot,TP,Yes,0.99,Integrated Gradients,,"Diseased part on leaf skipped over, too much noise. includes some diseased spots"
26,Blast,Normal,Blast,FP,No,0.64,Lime,N/A,Little to high attribution everywhere
26,Blast,Normal,Blast,FP,No,0.64,GradCAM,N/A,Little to high attribution in most spots
26,Blast,Normal,Blast,FP,No,0.64,Integrated Gradients,N/A,Little to high attribution in some spots
26,Blast,Normal,Normal,TP,Yes,0.97,Lime,N/A,Little to high attribution everywhere
26,Blast,Normal,Normal,TP,Yes,0.97,GradCAM,N/A,Little to high attribution in most spots
26,Blast,Normal,Normal,TP,Yes,0.97,Integrated Gradients,N/A,Little to high attribution in some spots
27,Brown Spot,Brown Spot,Brown Spot,TP,No,1,Lime,0.3,"Ooze not highlighted well, too much noise"
27,Brown Spot,Brown Spot,Brown Spot,TP,No,1,GradCAM,0.6,Ooze highlighted but some other spots highlighted with high attribution
27,Brown Spot,Brown Spot,Brown Spot,TP,No,1,Integrated Gradients,0.6,Ooze highlighted but some other spots highlighted with high attribution
27,Brown Spot,Brown Spot,Brown Spot,TP,Yes,1,Lime,0.3,"Ooze not highlighted well, too much noise"
27,Brown Spot,Brown Spot,Brown Spot,TP,Yes,1,GradCAM,0.7,Ooze highlighted but some other spots highlighted with high attribution
27,Brown Spot,Brown Spot,Brown Spot,TP,Yes,1,Integrated Gradients,0.7,Ooze highlighted but some other spots highlighted with high attribution
28,Brown Spot,Brown Spot,Brown Spot,TP,No,1,Lime,0.7,"Leaves with white ooze highlighted well, but some noise"
28,Brown Spot,Brown Spot,Brown Spot,TP,No,1,GradCAM,0.5,"Some leaves with white ooze highlighted, but others missed or given low attributions"
28,Brown Spot,Brown Spot,Brown Spot,TP,No,1,Integrated Gradients,0.8,"Most leaves with white ooze highlighted, but a few missed or given low attributions"
28,Brown Spot,Brown Spot,Brown Spot,TP,Yes,1,Lime,0.4,High attributions are not given to main oozes
28,Brown Spot,Brown Spot,Brown Spot,TP,Yes,1,GradCAM,0.1,"Too much high attribution, some oozes skipped over"
28,Brown Spot,Brown Spot,Brown Spot,TP,Yes,1,Integrated Gradients,0.7,"Most leaves with white ooze highlighted, but a few missed or given low attributions"
29,Brown Spot,Brown Spot,Brown Spot,TP,No,1,Lime,0.4,"Some brown spots highlighted with confidence, too much noise"
29,Brown Spot,Brown Spot,Brown Spot,TP,No,1,GradCAM,0.4,Many brown spots not with high confidence against negative areas with it 
29,Brown Spot,Brown Spot,Brown Spot,TP,No,1,Integrated Gradients,0.5,"Brown spots highlighted, some confident noise especially bottom right with the light"
29,Brown Spot,Brown Spot,Brown Spot,TP,Yes,1,Lime,0.4,"Some brown spots highlighted with confidence, too much noise"
29,Brown Spot,Brown Spot,Brown Spot,TP,Yes,1,GradCAM,0.4,Many brown spots not with high confidence against negative areas with it 
29,Brown Spot,Brown Spot,Brown Spot,TP,Yes,1,Integrated Gradients,0.6,"Brown spots highlighted, few confident noise but in smaller areas"
30,Brown Spot,Brown Spot,Hispa,FN,No,0.63,Lime,0.5,Had main spot and everything else was clustered
30,Brown Spot,Brown Spot,Hispa,FN,No,0.63,GradCAM,0.5,Missed high confidence for main spot and some random high spots
30,Brown Spot,Brown Spot,Hispa,FN,No,0.63,Integrated Gradients,0.7,"Highlighted brown tips, cluster makes it confusing"
30,Brown Spot,Brown Spot,Brown Spot,TP,Yes,0.99,Lime,0.5,Had main spot and everything else was clustered
30,Brown Spot,Brown Spot,Brown Spot,TP,Yes,0.99,GradCAM,0.5,Missed high confidence for main spot and some random high spots
30,Brown Spot,Brown Spot,Brown Spot,TP,Yes,0.99,Integrated Gradients,0.8,"Highlighted brown tips, cluster makes it confusing but not as dense"
31,Brown Spot,Brown Spot,Blast,FN,No,0.73,Lime,0.6,Got parts of disease but too much confident noise
31,Brown Spot,Brown Spot,Blast,FN,No,0.73,GradCAM,0.6,Got parts of disease but too much confident noise
31,Brown Spot,Brown Spot,Blast,FN,No,0.73,Integrated Gradients,0.7,Got parts of disease but moderate noise
31,Brown Spot,Brown Spot,Brown Spot,TP,Yes,0.99,Lime,0.6,Got parts of disease but too much confident noise
31,Brown Spot,Brown Spot,Brown Spot,TP,Yes,0.99,GradCAM,0.6,Got parts of disease but too much confident noise
31,Brown Spot,Brown Spot,Brown Spot,TP,Yes,0.99,Integrated Gradients,0.7,Got parts of disease but moderate noise
32,Brown Spot,Brown Spot,Bacterial Leaf Streak,FN,No,0.99,Lime,0.5,Got disease but not with the best confidence and moderate noise
32,Brown Spot,Brown Spot,Bacterial Leaf Streak,FN,No,0.99,GradCAM,0.7,Got the disease but too much confidence noise
32,Brown Spot,Brown Spot,Bacterial Leaf Streak,FN,No,0.99,Integrated Gradients,0.7,"Got the disease but too much confidence noise, less than GradCAM though. Missed some spots"
32,Brown Spot,Brown Spot,Bacterial Leaf Streak,FN,Yes,1,Lime,0.5,Got disease but not with the best confidence and moderate noise
32,Brown Spot,Brown Spot,Bacterial Leaf Streak,FN,Yes,1,GradCAM,0.5,Got disease but not with the best confidence and moderate noise
32,Brown Spot,Brown Spot,Bacterial Leaf Streak,FN,Yes,1,Integrated Gradients,0.7,Got the disease but too much confidence noise. Missed some spots
33,Brown Spot,Downy Mildew,Brown Spot,FP,No,0.78,Lime,0.5,Highlighted influential regions with high attribution but also negative spots. Missed some spots
33,Brown Spot,Downy Mildew,Brown Spot,FP,No,0.78,GradCAM,0.6," Highlighted some spots with low attribution, gave high attribution to negative spots"
33,Brown Spot,Downy Mildew,Brown Spot,FP,No,0.78,Integrated Gradients,0.4,"Incorrectly highlighted light leaf from sun as most influential. Highlighted some spots with low attribution, gave high attribution to negative spots"
33,Brown Spot,Downy Mildew,Brown Spot,FP,Yes,0.9,Lime,0.4,Highlighted positive spots with low attribution and incorrect spots with high attribution
33,Brown Spot,Downy Mildew,Brown Spot,FP,Yes,0.9,GradCAM,1,Highlighted spots with the greatest attribution
33,Brown Spot,Downy Mildew,Brown Spot,FP,Yes,0.9,Integrated Gradients,0.4,"Incorrectly highlighted light leaf from sun as most influential. Highlighted some spots with low attribution, gave high attribution to negative spots"
34,Brown Spot,Downy Mildew,Brown Spot,FP,No,0.64,Lime,0.8,Brown streak highlighted but noise especially high noise in top right
34,Brown Spot,Downy Mildew,Brown Spot,FP,No,0.64,GradCAM,0.2,Major streak missed and too much high noise
34,Brown Spot,Downy Mildew,Brown Spot,FP,No,0.64,Integrated Gradients,0.5,Parts of brown streak missed and too much high noise
34,Brown Spot,Downy Mildew,Downy Mildew,TP,Yes,0.78,Lime,0.2,Major streak missed and too much high noise
34,Brown Spot,Downy Mildew,Downy Mildew,TP,Yes,0.78,GradCAM,0.3,Major streak mostly missed and too much high noise
34,Brown Spot,Downy Mildew,Downy Mildew,TP,Yes,0.78,Integrated Gradients,0.5,Parts of brown streak missed and too much high noise
35,Brown Spot,Normal,Brown Spot,FP,No,1,Lime,N/A,Little to high attribution everywhere
35,Brown Spot,Normal,Brown Spot,FP,No,1,GradCAM,N/A,Little to high attribution everywhere
